target: mars|target x|target y|target z|time
0|174545668.79121733|115206183.44738407|48138396.182549104|0.0
1|174308676.17062548|115560055.27316442|48307119.50495242|17756.465148141804
2|174070932.57488567|115913430.20131579|48475635.217966616|35512.93029628361
3|173832439.3897287|116266306.96066146|48643942.701074086|53269.39544442541
4|173593198.00331342|116618684.28378057|48812041.3354143|71025.86059256722
5|173353209.80621293|116970560.90700988|48979930.50378493|88782.32574070903
6|173112476.1914004|117321935.57044576|49147609.590643235|106538.79088885082
7|172870998.55423522|117672807.01794598|49315077.982107185|124295.25603699262
8|172628778.2924489|118023173.99713151|49482335.06595672|142051.72118513443
9|172385816.80613124|118373035.2593884|49649380.23163491|159808.18633327624
10|172142115.49771634|118722389.55986927|49816212.87024912|177564.65148141806
11|171897675.77196866|119071235.65749514|49982832.37457215|195321.11662955984
12|171652499.0359692|119419572.31495693|50149238.139043316|213077.58177770165
13|171406586.69910145|119767398.2987171|50315429.559769586|230834.04692584346
14|171159940.17303765|120114712.37901115|50481406.03452665|248590.51207398524
15|170912560.87172484|120461513.32984906|50647166.96275995|266346.9772221271
16|170664450.21137112|120807799.92901675|50812711.745585695|284103.44237026887
17|170415609.61043167|121153570.95807743|50978039.78579191|301859.90751841065
18|170166040.48959503|121498825.20237294|51143150.48783938|319616.3726665525
19|169915744.2717693|121843561.45102511|51308043.25786266|337372.83781469427
20|169664722.38206828|122187778.4969369|51472717.50367095|355129.3029628361
21|169412976.24779788|122531475.13679363|51637172.634749115|372885.7681109779
22|169160507.29844213|122874650.17106418|51801408.062258475|390642.2332591197
23|168907316.96564963|123217302.40400201|51965423.19903775|408398.6984072615
24|168653406.68321973|123559430.64364636|52129217.45960395|426155.1635554033
25|168398777.88708892|123901033.7018231|52292790.26015311|443911.6287035451
26|168143432.01531702|124242110.39414585|52456141.0185612|461668.0938516869
27|167887370.50807372|124582659.54001679|52619269.15438488|479424.5589998287
28|167630594.8076247|124922679.96262763|52782174.08886228|497181.0241479705
29|167373106.35831815|125262170.48896047|52944855.24491376|514937.4892961123
30|167114906.6065711|125601129.94978851|53107312.04714264|532693.9544442542
31|166855997.00085592|125939557.17967683|53269543.921835914|550450.4195923959
32|166596378.99168658|126277451.01698314|53431550.29696494|568206.8847405377
33|166336054.03160527|126614810.30385843|53593330.60218612|585963.3498886796
34|166075023.57516873|126951633.8862476|53754884.26884156|603719.8150368213
35|165813289.0789348|127287920.61389|53916210.72995965|621476.2801849631
36|165550852.00144896|127623669.34032002|54077309.42025576|639232.745333105
37|165287713.8032307|127958878.92286757|54238179.77613277|656989.2104812467
38|165023875.94676033|128293548.22265846|54398821.23568164|674745.6756293885
39|164759339.89646518|128627676.10461497|54559233.23868202|692502.1407775304
40|164494107.1187065|128961261.43745609|54719415.2266027|710258.6059256722
41|164228179.08176586|129294303.09369785|54879366.6426022|728015.071073814
42|163961557.25583193|129626799.94965366|55039086.931529194|745771.5362219558
43|163694243.11298698|129958750.88543452|55198575.53992304|763528.0013700976
44|163426238.1271936|130290154.78494921|55357831.91601418|781284.4665182394
45|163157543.77428138|130621010.53590453|55516855.509724624|799040.9316663812
46|162888161.53193358|130951317.02980526|55675645.77266833|816797.396814523
47|162618092.879674|131281073.16195437|55834202.1581516|834553.8619626648
48|162347339.29885337|131610277.83145307|55992524.12117348|852310.3271108066
49|162075902.27263668|131938929.94120064|56150611.11842606|870066.7922589484
50|161803783.28598934|132267028.39789459|56308462.6082949|887823.2574070902
51|161530983.82566446|132594572.11203045|56466078.05085925|905579.722555232
52|161257505.38018948|132921559.99790163|56623456.90789242|923336.1877033738
53|160983349.43985298|133247990.97359933|56780598.64286201|941092.6528515156
54|160708517.4966917|133573863.9610123|56937502.72093022|958849.1179996574
55|160433011.0444773|133899177.88582662|57094168.608954035|976605.5831477992
56|160156831.5787034|134223931.6775253|57250595.77548549|994362.048295941
57|159879980.59657237|134548124.2693881|57406783.69077186|1012118.5134440828
58|159602459.59698245|134871754.5984911|57562731.82675583|1029874.9785922247
59|159324270.08051464|135194821.6057063|57718439.6570757|1047631.4437403665
60|159045413.5494197|135517324.23570117|57873906.65706549|1065387.9088885083
61|158765891.50760525|135839261.43693817|58029132.30375509|1083144.37403665
62|158485705.46062276|136160632.1616742|58184116.07587038|1100900.8391847918
63|158204856.91565466|136481435.36596015|58338857.4538333|1118657.3043329336
64|157923347.38150144|136801670.0096402|58493355.91976193|1136413.7694810755
65|157641178.36856872|137121335.05635116|58647610.9574706|1154170.2346292173
66|157358351.38885447|137440429.4735219|58801622.05246983|1171926.6997773591
67|157074867.9559362|137758952.23237255|58955388.69196641|1189683.164925501
68|156790729.584958|138076902.30791387|59108910.36486343|1207439.6300736426
69|156505937.79261792|138394278.6789463|59262186.561760195|1225196.0952217844
70|156220494.09715515|138711080.3280592|59415216.77495225|1242952.5603699263
71|155934400.0183373|139027306.24163005|59568000.49843129|1260709.025518068
72|155647657.0774477|139342955.4098235|59720537.227885105|1278465.49066621
73|155360266.7972726|139658026.82659048|59872826.46069753|1296221.9558143518
74|155072230.70208868|139972519.48966712|60024867.69594829|1313978.4209624934
75|154783550.31765038|140286432.40057385|60176660.434412874|1331734.8861106352
76|154494227.17117712|140599764.5646143|60328204.178562455|1349491.351258777
77|154204262.79134098|140912514.99087423|60479498.432563685|1367247.816406919
78|153913658.70825386|141224682.69222048|60630542.70227855|1385004.2815550608
