sail 3 mars; shortest distance: 86687910.4073702|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
41|-147025389.64614293|25173865.76999923|10946499.706961308|728015.071073814|0.6|-6.461960012399143|-27.02270660182095|-11.71679982254967|311253568.7279088|104120437.32369861|43932866.93564089|331134332.72845936
42|-147139297.688428|24693846.032708578|10738367.334357172|745771.5362219558|0.6|-6.368065328991557|-27.044279051962583|-11.72617372475772|311100854.94425994|104932953.91694507|44300719.59717202|331296273.0270482
43|-147251537.92660007|24213446.0261845|10530069.720319532|763528.0013700976|0.6|-6.274107133348551|-27.06553819199593|-11.7354117762161|310945781.039587|105745304.85925002|44668505.81960351|331458328.690426
44|-147362109.246361|23732671.315435585|10321609.277829822|781284.4665182394|0.6|-6.180086922925672|-27.086483835006113|-11.744513895564419|310788347.3735546|106557483.46951362|45036222.63818435|331620499.20964926
45|-147471010.56009886|23251527.468755037|10112988.42129928|799040.9316663812|0.6|-6.086006196656096|-27.107115801542964|-11.753480004678977|310628554.33438027|107369483.06714949|45403867.088425346|331782784.07499886
46|-147578240.80692825|22770020.05759361|9904209.566513857|816797.396814523|0.6|-5.991866454897779|-27.12743391964186|-11.762310028681817|310466402.3388618|108181296.97221164|45771436.20615447|331945182.7760119
47|-147683798.95273045|22288154.656432528|9695275.130579118|834553.8619626648|0.6|-5.8976691993806005|-27.14743802484459|-11.771003895949772|310301891.83240443|108992918.50552185|46138927.02757248|332107694.801515
48|-147787683.98952353|21805936.84242246|9486187.53176356|852310.3271108066|0.6|-5.803415932985796|-27.167127959930408|-11.779561537997903|310135023.2883769|109804340.98903061|46506336.58940992|332270319.6391229
49|-147889894.9349106|21323372.19504989|9276949.18935382|870066.7922589484|0.6|-5.709108159545008|-27.186503574681012|-11.787982889377611|309965797.2075473|110615557.74615076|46873661.929072246|332433056.7748089
50|-147990430.8343225|20840466.296778694|9067562.523933351|887823.2574070902|0.6|-5.6147473843384885|-27.205564726853513|-11.796267888098452|309794214.12031186|111426562.1011159|47240900.084361546|332595905.6946975
