sail 0 mars; shortest distance: 108385300.74168783|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
0|-50785894.06477005|-131990344.48282097|-57193678.37459495|0.0|0.6|28.259238749900554|-9.239426687668296|-4.006047897781754|69521674.2027081|342759285.2438656|153378707.4420478|381892941.41346264
1|-50283788.00909225|-132153707.14058572|-57264509.64980251|17756.465148141804|0.6|28.295467962115733|-9.160921986125299|-3.9720309282823716|68601624.95199956|342985174.71437305|153489522.62121344|381973882.0579122
2|-49781041.34319425|-132315674.80759175|-57334736.459592536|35512.93029628361|0.6|28.33139733045752|-9.082303272048959|-3.9379645287729272|67680869.83319303|343208951.4832246|153599405.90616304|382054789.283315
3|-49277659.105685845|-132476245.57813251|-57404357.977745965|53269.39544442541|0.6|28.36702630853071|-9.003571648684092|-3.903849177298936|66759415.336698174|343430613.78964114|153708356.4979031|382135662.9278585
4|-48773646.89583795|-132635417.35961325|-57473373.29701323|71025.86059256722|0.6|28.402354296998787|-8.924728343684327|-3.869685405813992|65837268.51235548|343650159.68813854|153816373.51744413|382216502.7061351
5|-48269010.06218741|-132793188.17976364|-57541781.56230627|88782.32574070903|0.6|28.43738073155387|-8.845774531328964|-3.835473723144792|64914436.158038795|343867587.35573435|153923456.13899016|382297308.39405775
6|-47763753.9641972|-132949556.08675137|-57609581.92739289|106538.79088885082|0.6|28.472105054387942|-8.766711389854892|-3.801214639833542|63990925.08131282|344082894.99205744|154029603.5466313|382378079.7687151
7|-47257883.97133812|-133104519.15003932|-57676773.55526833|124295.25603699262|0.6|28.506526714459415|-8.687540101259135|-3.766908668052408|63066742.09851241|344296080.8201993|154134814.93471286|382458816.60909283
8|-46751405.46261889|-133258075.45972197|-57743355.61786777|142051.72118513443|0.6|28.540645167299566|-8.608261851128896|-3.732556321529856|62141894.034269914|344507143.08604634|154239089.50754562|382539518.6952489
9|-46244323.82670842|-133410223.12708563|-57809327.29630901|159808.18633327624|0.6|28.574459875206824|-8.528877828691002|-3.6981581155720904|61216387.72163534|344716080.0588344|154342426.4796465|382620185.80890286
10|-45736644.46139199|-133560960.28474806|-57874687.78095312|177564.65148141806|0.6|28.60797030735629|-8.44938922662348|-3.66371456698141|60290230.00152986|344922890.0312841|154444825.07579684|382700817.7334668
11|-45228372.773617774|-133710285.08662756|-57939436.271390915|195321.11662955984|0.6|28.641175939783338|-8.369797241071636|-3.6292261940631763|59363427.72278994|345127571.3195645|154546284.53102678|382781414.25399053
12|-44719514.1801143|-133858195.70765674|-58003571.97631901|213077.58177770165|0.6|28.674076255212267|-8.290103071863594|-3.5946935167192007|58435987.74278229|345330122.2630024|154646804.09048903|382861975.1569185
13|-44210074.10685442|-134004690.34404382|-58067094.11365296|230834.04692584346|0.6|28.70667074320986|-8.210307922326196|-3.560117056367979|57507916.92686564|345530541.2243383|154746383.00956994|382942500.2302512
14|-43700057.98892891|-134149767.21334001|-58130001.91055658|248590.51207398524|0.6|28.738958900223803|-8.130412999242994|-3.525497335926491|56579222.14826182|345728826.589789|154845020.55391654|383022989.2635657
15|-43189471.270422325|-134293424.55450594|-58192294.60347069|266346.9772221271|0.6|28.770940229620482|-8.050419512813015|-3.4908348797923336|55649910.2879293|345924976.7691093|154942715.99946317|383103442.04803705
16|-42678319.404288836|-134435660.62797818|-58253971.43814193|284103.44237026887|0.6|28.802614241722797|-7.970328676609519|-3.4561302138258494|54719988.23443651|346118990.1956535|155039468.63245797|383183858.3764596
17|-42166607.85222801|-134576473.71573555|-58315031.66965156|301859.90751841065|0.6|28.83398045384794|-7.890141707538751|-3.421383865332258|53789462.883835614|346310865.3264368|155135277.7494897|383264238.04327
18|-41654342.084560685|-134715862.12136564|-58375474.56244426|319616.3726665525|0.6|28.86503839034521|-7.8098598257987|-3.386596363043787|52858341.13953581|346500600.6421969|155230142.65751418|383344580.84456986
19|-41141527.580034696|-134853824.17014575|-58435299.390363224|337372.83781469427|0.6|28.89578758264451|-7.729484254809474|-3.3517682370895026|51926629.91210693|346688194.6474701|155324062.67388737|383424886.57815725
20|-40628169.82400573|-134990358.20946044|-58494505.43683123|355129.3029628361|0.6|28.926227569552932|-7.64901622048557|-3.316900018679971|50994336.11745779|346873645.8710041|155417037.12654412|383505155.0437055
21|-40114274.31035817|-135125462.60844427|-58553091.99469573|372885.7681109779|0.6|28.956357896980325|-7.568456952022884|-3.2819922404482904|50061466.678755075|347056952.8653957|155509065.35384122|383585386.0426214
22|-39599846.54152941|-135259135.75801766|-58611058.36624429|390642.2332591197|0.6|28.98617811795443|-7.487807681917629|-3.247045436458287|49128028.526445225|347238114.20712185|155600146.7045705|383665579.37805325
23|-39084892.027789965|-135391376.07107645|-58668403.8632869|408398.6984072615|0.6|29.01568779274963|-7.407069645683789|-3.2120601420820853|48194028.597532414|347417128.49672437|155690280.5380392|383745734.8549722
24|-38569416.28710927|-135522181.98256066|-58725127.80718571|426155.1635554033|0.6|29.044886488926274|-7.326244081807841|-3.1770368939804907|47259473.835441954|347593994.35887384|155779466.22409737|383825852.28020316
