target: mars|target x|target y|target z|time
0|18735780.13793805|210768940.76104462|96185029.06745285|0.0
1|18317836.942907315|210831467.57378733|96225012.97141093|17756.465148141804
2|17899828.489998788|210893276.6756328|96264669.44657052|35512.93029628361
3|17481756.231012326|210954368.21150866|96303998.52015716|53269.39544442541
4|17063621.61651753|211014742.32852527|96343000.2204309|71025.86059256722
5|16645426.09585138|211074399.17597073|96381674.5766839|88782.32574070903
6|16227171.11711562|211133338.90530607|96420021.61923842|106538.79088885082
7|15808858.127174284|211191561.67016|96458041.37944452|124295.25603699262
8|15390488.571651023|211249067.62632436|96495733.88967785|142051.72118513443
9|14972063.894926924|211305856.93174875|96533099.1833375|159808.18633327624
10|14553585.540137865|211361929.74653602|96570137.29484372|177564.65148141806
11|14135054.949172165|211417286.23293698|96606848.25963585|195321.11662955984
12|13716473.562667988|211471926.55534568|96643232.11417001|213077.58177770165
13|13297842.820011225|211525850.88029444|96679288.89591698|230834.04692584346
14|12879164.159332916|211579059.37644896|96715018.64335997|248590.51207398524
15|12460439.017506972|211631552.21460336|96750421.39599247|266346.9772221271
16|12041668.83014768|211683329.56767532|96785497.19431603|284103.44237026887
17|11622855.031607606|211734391.61070126|96820246.07983813|301859.90751841065
18|11203999.054975122|211784738.52083126|96854668.09506992|319616.3726665525
19|10785102.332072232|211834370.47732437|96888763.28352414|337372.83781469427
20|10366166.293452058|211883287.6615437|96922531.6897129|355129.3029628361
21|9947192.368396908|211931490.25695145|96955973.35914548|372885.7681109779
22|9528181.984915815|211978978.4491042|96989088.33832622|390642.2332591197
23|9109136.569742449|212025752.4256479|97021876.67475231|408398.6984072615
24|8690057.548332684|212071812.3763132|97054338.41691165|426155.1635554033
25|8270946.344862729|212117158.49291044|97086473.6142807|443911.6287035451
26|7851804.382226735|212161790.96932492|97118282.31732227|461668.0938516869
27|7432633.082034774|212205710.00151205|97149764.57748342|479424.5589998287
28|7013433.864610475|212248915.78749254|97180920.44719328|497181.0241479705
29|6594208.148989242|212291408.52734753|97211749.97986092|514937.4892961123
30|6174957.352915902|212333188.4232139|97242253.22987317|532693.9544442542
31|5755682.892842758|212374255.67927933|97272430.2525925|550450.4195923959
32|5336386.183927342|212414610.50177765|97302281.10435487|568206.8847405377
33|4917068.640030596|212454253.0989839|97331805.84246762|585963.3498886796
34|4497731.673714716|212493183.6812097|97361004.52520725|603719.8150368213
35|4078376.696241159|212531402.4607984|97389877.21181737|621476.2801849631
36|3659005.117568534|212568909.65212032|97418423.96250656|639232.745333105
37|3239618.3463508394|212605705.471568|97446644.8384462|656989.2104812467
38|2820217.789935328|212641790.13755143|97474539.90176834|674745.6756293885
39|2400804.8543606475|212677163.87049335|97502109.21556364|692502.1407775304
40|1981380.944354752|212711826.8928245|97529352.84387922|710258.6059256722
41|1561947.4633332063|212745779.4289789|97556270.85171649|728015.071073814
42|1142505.8133971505|212779021.70538902|97582863.3050291|745771.5362219558
43|723057.3953314722|212811553.95048124|97609130.27072081|763528.0013700976
44|303603.6086027846|212843376.39467105|97635071.81664339|781284.4665182394
45|-115854.14864217304|212874489.2703583|97660688.01159447|799040.9316663812
46|-535314.4795785509|212904892.8119226|97685978.92531551|816797.396814523
47|-954775.9887051117|212934587.25571862|97710944.62848961|834553.8619626648
48|-1374237.281846214|212963572.8400713|97735585.19273952|852310.3271108066
49|-1793696.9661533441|212991849.80527136|97759900.69062541|870066.7922589484
50|-2213153.6501070578|213019418.3935705|97783891.19564293|887823.2574070902
51|-2632605.943518687|213046278.84917676|97807556.782221|905579.722555232
52|-3052052.4575320557|213072431.4182499|97830897.52571978|923336.1877033738
53|-3471491.804625364|213097876.3488968|97853913.50242858|941092.6528515156
54|-3890922.5986126494|213122613.8911667|97876604.78956378|958849.1179996574
55|-4310343.454645645|213146644.2970467|97898971.46526672|976605.5831477992
56|-4729752.989215378|213169967.82045707|97921013.6086017|994362.048295941
57|-5149149.820154009|213192584.71724665|97942731.29955384|1012118.5134440828
58|-5568532.566636215|213214495.24518824|97964124.61902705|1029874.9785922247
59|-5987899.849180961|213235699.66397405|97985193.64884192|1047631.4437403665
60|-6407250.289653242|213256198.23521098|98005938.47173373|1065387.9088885083
61|-6826582.5112654315|213275991.22241628|98026359.17135033|1083144.37403665
62|-7245895.138579041|213295078.89101267|98046455.83225009|1100900.8391847918
63|-7665186.797506249|213313461.50832397|98066228.5398999|1118657.3043329336
64|-8084456.115311421|213331139.34357056|98085677.38067304|1136413.7694810755
65|-8503701.720612826|213348112.66786468|98104802.44184722|1154170.2346292173
66|-8922922.2433839|213364381.75420603|98123603.81160244|1171926.6997773591
67|-9342116.314954944|213379946.87747708|98142081.57901907|1189683.164925501
68|-9761282.568014529|213394808.31443873|98160235.83407567|1207439.6300736426
69|-10180419.63661116|213408966.34372562|98178066.66764708|1225196.0952217844
70|-10599526.156154484|213422421.2458417|98195574.17150232|1242952.5603699263
71|-11018600.763416924|213435173.30315578|98212758.43830258|1260709.025518068
72|-11437642.096535027|213447222.7998968|98229619.56159921|1278465.49066621
73|-11856648.79501108|213458570.02214968|98246157.63583168|1296221.9558143518
74|-12275619.499714246|213469215.2578505|98262372.75632556|1313978.4209624934
75|-12694552.852882152|213479158.79678228|98278265.01929049|1331734.8861106352
76|-13113447.498122178|213488400.93057036|98293834.52181825|1349491.351258777
77|-13532302.08041301|213496941.95267802|98309081.36188065|1367247.816406919
78|-13951115.246105729|213504782.158402|98324005.63832755|1385004.2815550608
79|-14369885.642925339|213511921.844868|98338607.4508849|1402760.7467032026
80|-14788611.919972003|213518361.3110264|98352886.90015271|1420517.2118513444
81|-15207292.727722527|213524100.85764763|98366844.08760305|1438273.676999486
82|-15625926.718031425|213529140.78731793|98380479.11557806|1456030.142147628
83|-16044512.54413235|213533481.4044348|98393792.08728798|1473786.6072957697
84|-16463048.860639311|213537123.0152027|98406783.10680915|1491543.0724439116
85|-16881534.32354809|213540065.92762855|98419452.27908202|1509299.5375920534
86|-17299967.590237238|213542310.4515175|98431799.70990916|1527056.0027401953
87|-17718347.319469485|213543856.89846832|98443825.50595333|1544812.4678883369
88|-18136672.17139291|213544705.58186924|98455529.77473547|1562568.9330364787
89|-18554940.807542123|213544856.81689352|98466912.62463273|1580325.3981846205
90|-18973151.890839607|213544310.92049497|98477974.16487652|1598081.8633327624
91|-19391304.08559667|213543068.21140385|98488714.50555053|1615838.3284809042
92|-19809396.057514716|213541129.01012224|98499133.75758882|1633594.793629046
93|-20227426.473686565|213538493.63891998|98509232.03277375|1651351.2587771877
94|-20645394.0025973|213535162.42183012|98519009.44373415|1669107.7239253295
95|-21063297.31412559|213531135.68464476|98528466.10394335|1686864.1890734714
96|-21481135.079544768|213526413.75491068|98537602.12771712|1704620.6542216132
97|-21898905.971523885|213520996.96192503|98546417.63021189|1722377.119369755
98|-22316608.66412897|213514885.63673106|98554912.72742271|1740133.5845178969
99|-22734241.832823865|213508080.11211386|98563087.53618133|1757890.0496660387
100|-23151804.154471405|213500580.72259602|98570942.17415428|1775646.5148141803
101|-23569294.307334613|213492387.80443338|98578476.75984094|1793402.9799623222
102|-23986710.971077487|213483501.69561085|98585691.41257158|1811159.445110464
103|-24404052.826766185|213473922.73583806|98592586.25250553|1828915.9102586058
104|-24821318.556870025|213463651.26654515|98599161.40062915|1846672.3754067477
105|-25238506.845262416|213452687.63087857|98605416.97875397|1864428.8405548895
106|-25655616.37722204|213441032.1736968|98611353.1095148|1882185.3057030311
107|-26072645.839433588|213428685.24156615|98616969.91636778|1899941.770851173
108|-26489593.919988833|213415647.18275663|98622267.52358848|1917698.2359993148
109|-26906459.308387727|213401918.3472376|98627246.05627|1935454.7011474567
110|-27323240.695539095|213387499.08667368|98631905.64032114|1953211.1662955985
111|-27739936.773761716|213372389.75442058|98636246.40246435|1970967.6314437403
112|-28156546.236785233|213356590.7055208|98640268.47023402|1988724.096591882
113|-28573067.779751003|213340102.29669964|98643971.97197448|2006480.5617400238
114|-28989500.09921315|213322924.88636088|98647357.03683811|2024237.0268881656
115|-29405841.89313923|213305058.83458278|98650423.79478356|2041993.4920363075
116|-29822091.860911205|213286504.50311372|98653172.37657376|2059749.9571844493
117|-30238248.703326445|213267262.25536835|98655602.9137741|2077506.4223325911
118|-30654311.122598328|213247332.45642322|98657715.53875057|2095262.887480733
119|-31070277.822357234|213226715.47301278|98659510.38466787|2113019.3526288746
120|-31486147.50765135|213205411.67352524|98660987.58548756|2130775.8177770167
121|-31901918.88494747|213183421.42799854|98662147.27596618|2148532.2829251583
122|-32317590.662131783|213160745.10811612|98662989.59165344|2166288.7480733
123|-32733161.54851081|213137383.08720297|98663514.66889031|2184045.213221442
124|-33148630.2548119|213113335.7402214|98663722.64480723|2201801.6783695836
125|-33563995.49318436|213088603.44376725|98663613.65732224|2219558.1435177256
126|-33979255.97719989|213063186.57606548|98663187.8451391|2237314.6086658672
127|-34394410.421853535|213037085.51696637|98662445.34774552|2255071.0738140093
128|-34809457.543564335|213010300.6479414|98661386.3054113|2272827.538962151
129|-35224396.060176134|212982832.35207924|98660010.85918646|2290584.0041102925
130|-35639224.69095817|212954681.0140817|98658319.15089948|2308340.4692584346
131|-36053942.15660599|212925847.02025962|98656311.32315546|2326096.934406576
132|-36468547.17924191|212896330.75852913|98653987.51933426|2343853.3995547183
133|-36883038.48241581|212866132.6184074|98651347.8835887|2361609.86470286
134|-37297414.79110591|212835252.99100876|98648392.5608428|2379366.329851002
135|-37711674.83171924|212803692.26904067|98645121.6967899|2397122.7949991436
136|-38125817.33209242|212771450.84679976|98641535.43789092|2414879.260147285
137|-38539841.02149227|212738529.12016797|98637633.9313725|2432635.7252954273
138|-38953744.63061643|212704927.48660845|98633417.3252252|2450392.190443569
139|-39367526.891594075|212670646.3451616|98628885.76820183|2468148.655591711
140|-39781186.5379864|212635686.0964413|98624039.40981546|2485905.1207398525
141|-40194722.304787226|212600047.14263088|98618878.40033783|2503661.585887994
142|-40608132.92842381|212563729.88747916|98613402.8907974|2521418.051036136
143|-41021417.146757096|212526734.73629656|98607613.03297772|2539174.516184278
144|-41434573.69908255|212489062.0959513|98601508.97941552|2556930.98133242
145|-41847601.32613059|212450712.37486532|98595090.88339907|2574687.4464805615
146|-42260498.770067155|212411685.9830106|98588358.89896628|2592443.9116287036
147|-42673264.77449441|212371983.33190507|98581313.18090305|2610200.376776845
148|-43085898.084450975|212331604.8346089|98573953.88474144|2627956.841924987
149|-43498397.44641268|212290550.90572068|98566281.16675794|2645713.307073129
150|-43910761.60829308|212248821.96137333|98558295.18397172|2663469.7722212705
151|-44322989.31944381|212206418.4192305|98549996.09414287|2681226.2373694126
152|-44735079.33065517|212163340.6984826|98541384.05577064|2698982.702517554
153|-45147030.394156665|212119589.21984303|98532459.22809175|2716739.1676656962
154|-45558841.26361729|212075164.4055444|98523221.7710786|2734495.632813838
155|-45970510.694146395|212030066.67933458|98513671.84543756|2752252.0979619795
156|-46382037.44229362|211984296.46647304|98503809.61260723|2770008.5631101215
157|-46793420.26604968|211937854.19372708|98493635.23475674|2787765.028258263
158|-47204657.924846806|211890740.28936785|98483148.874784|2805521.493406405
159|-47615749.17955898|211842955.18316686|98472350.69631396|2823277.958554547
160|-48026692.79250249|211794499.30639192|98461240.86369696|2841034.423702689
161|-48437487.52743637|211745373.09180367|98449819.54200697|2858790.8888508305
162|-48848132.14956264|211695576.9736516|98438086.89703989|2876547.353998972
163|-49258625.42552699|211645111.38767046|98426043.09531185|2894303.819147114
164|-49668966.12341882|211593976.77107644|98413688.30405754|2912060.284295256
165|-50079153.01277185|211542173.56256354|98401022.69122842|2929816.749443398
166|-50489184.86456436|211489702.20229977|98388046.42549117|2947573.2145915395
167|-50899060.45121969|211436563.1319235|98374759.67622587|2965329.679739681
168|-51308778.54660646|211382756.79453975|98361162.61352438|2983086.144887823
169|-51718337.926038906|211328283.6347165|98347255.40818867|3000842.6100359648
170|-52127737.366277315|211273144.09848106|98333038.2317291|3018599.075184107
171|-52536975.64552821|211217338.63331634|98318511.2563628|3036355.5403322484
172|-52946051.54344489|211160867.68815714|98303674.65501189|3054112.0054803905
