sail 12561 mars; shortest distance: 1250986.617847318|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
0|-98843658.9786337|-105960020.59367177|-45917294.69164096|0.0|-0.6|22.550003436447465|-18.153474488187886|-7.870750219827785|-1522373.1432464123|-80820293.03780553|-37013381.872302964|88905724.36198336
1|-98442511.93008755|-106281942.4894037|-46056869.57931066|17763.563677898343|-0.6|22.61514640317196|-18.091714457983656|-7.843987556040386|-1514958.662700057|-80634740.02709633|-36947397.4814719|88709450.34009047
2|-98040209.37750539|-106602765.8919998|-46195968.45324998|35527.127355796685|-0.6|22.680047840562885|-18.02974975398561|-7.817136153684943|-1508332.6705076247|-80449598.22355013|-36881583.793785356|88513638.18595172
3|-97636757.04546778|-106922485.9804067|-46334589.223234765|53290.691033695024|-0.6|22.74470646323714|-17.96758163540625|-7.79019655842384|-1502490.7535795718|-80264871.57685068|-36815942.46434421|88318292.03087449
4|-97232157.05669397|-107241101.00669628|-46472731.13142545|71054.25471159337|-0.6|22.80912180602958|-17.905210571520403|-7.763168973612265|-1497432.103511572|-80080560.96526971|-36750473.81657415|88123412.7412211
5|-96826414.77261032|-107558606.51286349|-46610392.24499477|88817.81838949172|-0.6|22.873292681567087|-17.842637745003163|-7.736053911748195|-1493152.6760164797|-79896669.97887665|-36685179.349601425|87929004.10296847
6|-96419535.20487298|-107874998.32437624|-46747570.75401984|106581.38206739005|-0.6|22.93721797778882|-17.77986426089223|-7.708851851686112|-1489648.7794018686|-79713201.92599623|-36620060.44036426|87735069.62119853
7|-96011522.54087344|-108190273.07141028|-46884265.197454885|124344.9457452884|-0.6|23.000896798977543|-17.716891048271496|-7.681563196037083|-1486917.5490632355|-79530159.31198205|-36555118.11764389|87541611.96015215
8|-95602380.91885307|-108504427.43212542|-47020474.13505735|142108.50942318674|-0.6|23.064328262316412|-17.653719025732872|-7.654188342865845|-1484956.1723696738|-79347544.59594762|-36490353.39014191|87348633.75449668
9|-95192114.71693909|-108817457.85867536|-47156196.02860004|159872.0731010851|-0.6|23.127511424388974|-17.590349163503408|-7.6267277126117|-1483761.5996281207|-79165360.4647645|-36425767.36527169|87156137.90290114
10|-94780728.37678929|-109129360.86929849|-47291429.368493|177635.63677898343|-0.6|23.19044536207286|-17.526782452056537|-7.599181734491622|-1483330.720437333|-78983609.5409795|-36361361.12254026|86964127.2527465
11|-94368226.33314899|-109440132.97504283|-47426172.64203042|195399.20045688178|-0.6|23.253129150037587|-17.46301987966278|-7.571550836767526|-1483660.4341309369|-78802294.45609747|-36297135.74530494|86772604.68109961
12|-93954613.03987655|-109749770.70804505|-47560424.3456452|213162.7641347801|-0.6|23.315561869419735|-17.399062440655978|-7.543835450330073|-1484747.6237522364|-78621417.82231005|-36233092.30852226|86581573.06340873
13|-93539892.91908318|-110058270.56622723|-47694182.96094347|230926.32781267844|-0.6|23.37774259085783|-17.334911119279937|-7.516036001695427|-1486589.2069128752|-78440982.28780699|-36169231.902717315|86391035.33456874
14|-93124070.51526257|-110365629.17940566|-47827447.02668719|248689.8914905768|-0.6|23.43967042545945|-17.270566938674634|-7.4881529342430415|-1489181.9816632718|-78260990.37067527|-36105555.56200467|86200994.30525407
15|-92707150.29107377|-110671843.08978912|-47960215.043674015|266453.45516847516|-0.6|23.501344457521608|-17.20603089595496|-7.460186680069321|-1492522.8307098746|-78081444.67840838|-36042064.35921208|86011452.90448897
16|-92289136.77781272|-110976908.91684376|-48092485.54618105|284217.0188463735|-0.6|23.56276379543789|-17.141304009960773|-7.432137680689599|-1496608.5709420443|-77902347.7430499|-35978759.334440455|85822413.99738926
17|-91870034.50345413|-111280823.27521972|-48224257.06639834|301980.5825242718|-0.6|23.623927545976752|-17.076387298510067|-7.404006377176122|-1501436.0253902525|-77723702.10327448|-35915641.530634135|85633880.4757434
