target: mars|target x|target y|target z|time
197|-14608928.283321545|-199406301.571625|-91039725.76312575|3499422.0445459737
198|-14156850.055792712|-199393106.18651634|-91045893.00278912|3517185.608223872
199|-13704715.68700941|-199379095.4554852|-91051687.78994736|3534949.1719017704
200|-13252527.003163539|-199364269.0096413|-91057109.90602915|3552712.7355796685
201|-12800285.832613535|-199348626.48353896|-91062159.13398466|3570476.2992575667
202|-12347994.00587754|-199332167.51518628|-91066835.2582898|3588239.8629354653
203|-11895653.355625078|-199314891.74605417|-91071138.06495075|3606003.4266133634
204|-11443265.716670267|-199296798.8210854|-91075067.34150821|3623766.990291262
205|-10990832.925965015|-199277888.38870382|-91078622.87704182|3641530.55396916
206|-10538356.822590455|-199258160.1008234|-91081804.4621745|3659294.117647059
207|-10085839.24775011|-199237613.61285716|-91084611.88907687|3677057.681324957
208|-9633282.044762857|-199216248.5837264|-91087044.95147151|3694821.245002855
209|-9180687.059054326|-199194064.67586973|-91089103.44463739|3712584.8086807537
210|-8728056.13815|-199171061.55525205|-91090787.16541426|3730348.372358652
211|-8275391.131667197|-199147238.89137354|-91092095.91220689|3748111.9360365504
212|-7822693.891308125|-199122596.35727897|-91093029.48498954|3765875.4997144486
213|-7369966.270850867|-199097133.62956637|-91093587.68531021|3783639.063392347
214|-6917210.126143053|-199070850.38839626|-91093770.3162951|3801402.6270702453
215|-6464427.315092694|-199043746.31750062|-91093577.18265282|3819166.1907481435
216|-6011619.697661128|-199015821.10419178|-91093008.0906788|3836929.754426042
217|-5558789.135854624|-198987074.43937162|-91092062.84825967|3854693.31810394
218|-5105937.493717238|-198957506.01754034|-91090741.26487751|3872456.881781839
219|-4653066.637321424|-198927115.53680548|-91089043.15161423|3890220.445459737
220|-4200178.434761487|-198895902.69889104|-91086968.32115589|3907984.0091376356
221|-3747274.756144181|-198863867.2091462|-91084516.587797|3925747.5728155337
222|-3294357.473581236|-198831008.77655435|-91081687.7674449|3943511.136493432
223|-2841428.461180821|-198797327.11374205|-91078481.67762399|3961274.7001713305
224|-2388489.5950400494|-198762821.93698797|-91074898.13748012|3979038.2638492286
225|-1935542.7532354854|-198727492.9662317|-91070936.96778491|3996801.827527127
226|-1482589.8158154301|-198691339.92508268|-91066597.99093996|4014565.3912050254
227|-1029632.664792046|-198654362.54082915|-91061881.03098124|4032328.954882924
228|-576673.1841317974|-198616560.54444697|-91056785.91358337|4050092.518560822
229|-123713.25974751264|-198577933.67060846|-91051312.46606387|4067856.0822387203
230|329245.22050957754|-198538481.6576913|-91045460.51738754|4085619.645916619
231|782200.3668595701|-198498204.24778736|-91039229.89817066|4103383.209594517
232|1235150.2876019403|-198457101.18671146|-91032620.44068532|4121146.7732724156
233|1688093.0891236924|-198415172.22401035|-91025631.97886369|4138910.3369503138
234|2141026.8759091645|-198372417.11297128|-91018264.34830223|4156673.9006282124
235|2593949.7505482957|-198328835.61063093|-91010517.38626611|4174437.4643061105
236|3046859.813744869|-198284427.47778428|-91002390.93169332|4192201.0279840087
237|3499755.1643264927|-198239192.47899312|-90993884.825199|4209964.591661907
238|3952633.899252966|-198193130.38259494|-90984998.90907967|4227728.155339805
239|4405494.113624699|-198146240.96071184|-90975733.02731752|4245491.719017704
240|4858333.900692839|-198098523.98925886|-90966087.02558462|4263255.282695603
241|5311151.351867778|-198049979.247953|-90956060.75124715|4281018.8463735
242|5763944.556727681|-198000606.52032185|-90945654.05336967|4298782.410051399
243|6216711.6030288115|-197950405.59371218|-90934866.78271933|4316545.9737292975
244|6669450.576714132|-197899376.25929868|-90923698.79177007|4334309.537407195
245|7122159.561922016|-197847518.3120926|-90912149.9347069|4352073.101085094
246|7574836.64099668|-197794831.5509504|-90900220.06743002|4369836.664762992
247|8027479.894496962|-197741315.7785823|-90887909.04755913|4387600.228440891
248|8480087.401205158|-197686970.80156103|-90875216.73443756|4405363.792118789
249|8932657.238137603|-197631796.43033016|-90862142.98913646|4423127.355796687
250|9385187.480553586|-197575792.47921297|-90848687.67445907|4440890.919474586
251|9837676.20196435|-197518958.76642084|-90834850.6549448|4458654.483152484
252|10290121.474143798|-197461295.11406186|-90820631.79687348|4476418.046830382
253|10742521.36713755|-197402801.3481492|-90806030.96826947|4494181.610508281
254|11194873.949272105|-197343477.29860988|-90791048.0389059|4511945.174186179
255|11647177.287165685|-197283322.79929307|-90775682.88030876|4529708.737864077
256|12099429.445737429|-197222337.6879785|-90759935.36576109|4547472.301541976
257|12551628.48821671|-197160521.80638525|-90743805.37030707|4565235.865219874
258|13003772.476154095|-197097875.0001798|-90727292.77075627|4582999.428897772
259|13455859.469430551|-197034397.11898464|-90710397.44568765|4600762.992575671
260|13907887.52626779|-196970088.01638666|-90693119.27545375|4618526.556253569
261|14359854.703237526|-196904947.5499456|-90675458.14218482|4636290.119931468
