target: mars|target x|target y|target z|time
0|-90461943.55517143|-189861730.82557973|-84611709.76629493|0.0
1|-90044941.33459838|-189981367.89955938|-84677854.18891035|17763.563677898343
2|-89627604.35298863|-190100297.26336563|-84743683.06104888|35527.127355796685
3|-89209933.9895128|-190218518.08891478|-84809195.96561016|53290.691033695024
4|-88791931.6261535|-190336029.55002677|-84874392.48629089|71054.25471159337
5|-88373598.64770512|-190452830.82243314|-84939272.2075885|88817.81838949172
6|-87954936.44177344|-190568921.08378506|-85003834.71480483|106581.38206739005
7|-87535946.39877355|-190684299.51366177|-85068079.59405005|124344.9457452884
8|-87116629.91193032|-190798965.29357842|-85132006.43224627|142108.50942318674
9|-86696988.3772763|-190912917.60699457|-85195614.81713142|159872.0731010851
10|-86277023.19365121|-191026155.63932213|-85258904.33726302|177635.63677898343
11|-85856735.76270157|-191138678.5779336|-85321874.58202185|195399.20045688178
12|-85436127.48887852|-191250485.61217043|-85384525.14161593|213162.7641347801
13|-85015199.77943742|-191361575.93335113|-85446855.60708424|230926.32781267844
14|-84593954.04443718|-191471948.73477945|-85508865.57030044|248689.8914905768
15|-84172391.69673824|-191581603.21175283|-85570554.62397686|266453.45516847516
16|-83750514.15200187|-191690538.5615706|-85631922.36166818|284217.0188463735
17|-83328322.82868958|-191798753.9835421|-85692968.37777534|301980.5825242718
18|-82905819.14806068|-191906248.67899525|-85753692.26754935|319744.1462021702
19|-82483004.5341725|-192013021.85128456|-85814093.6270951|337507.7098800685
20|-82059880.41387792|-192119072.70579982|-85874172.05337533|355271.27355796687
21|-81636448.21682462|-192224400.44997415|-85933927.14421439|373034.8372358652
22|-81212709.37545426|-192329004.2932924|-85993358.49830206|390798.40091376356
23|-80788665.32500014|-192432883.44729963|-86052465.7151976|408561.9645916619
24|-80364317.5034864|-192536037.1256095|-86111248.39533342|426325.5282695602
25|-79939667.35172702|-192638464.54391226|-86169706.14001912|444089.09194745857
26|-79514716.31332359|-192740164.9199838|-86227838.5514453|461852.6556253569
27|-79089465.83466412|-192841137.47369367|-86285645.23268753|479616.21930325526
28|-78663917.36492227|-192941381.42701337|-86343125.78771013|497379.7829811536
29|-78238072.35605456|-193040896.00402528|-86400279.82137026|515143.34665905195
30|-77811932.26280022|-193139680.43093055|-86457106.93942164|532906.9103369503
31|-77385498.5426784|-193237733.93605807|-86513606.74851866|550670.4740148486
32|-76958772.65598711|-193335055.74987268|-86569778.85622023|568434.037692747
33|-76531756.06580213|-193431645.1049836|-86625622.87099367|586197.6013706453
34|-76104450.23797426|-193527501.23615316|-86681138.40221874|603961.1650485436
35|-75676856.64112818|-193622623.38030517|-86736325.0601916|621724.728726442
36|-75248976.74666123|-193717010.77653342|-86791182.45612861|639488.2924043403
37|-74820812.02874066|-193810662.66611037|-86845710.20217052|657251.8560822387
38|-74392363.96430235|-193903578.29249558|-86899907.91138633|675015.419760137
39|-73963634.03304946|-193995756.9013442|-86953775.19777717|692778.9834380354
40|-73534623.71744947|-194087197.7405159|-87007311.67628048|710542.5471159337
41|-73105334.50273362|-194177900.06008288|-87060516.96277387|728306.110793832
42|-72675767.87689379|-194267863.11233908|-87113390.67407916|746069.6744717304
43|-72245925.33068112|-194357086.1518084|-87165932.42796639|763833.2381496287
44|-71815808.35760453|-194445568.4352534|-87218141.84315771|781596.8018275271
45|-71385418.45392771|-194533309.22168404|-87270018.53933163|799360.3655054254
46|-70954757.11866753|-194620307.77236623|-87321562.13712685|817123.9291833238
47|-70523825.8535926|-194706563.3508304|-87372772.2581463|834887.4928612221
48|-70092626.16322003|-194792075.22288048|-87423648.52496128|852651.0565391204
49|-69661159.55481389|-194876842.6566023|-87474190.56111541|870414.6202170188
50|-69229427.53838354|-194960864.92237222|-87524397.99112868|888178.1838949171
51|-68797431.62668018|-195044141.29286617|-87574270.44050157|905941.7475728155
52|-68365173.33519611|-195126671.04306802|-87623807.53571898|923705.3112507138
53|-67932654.18216114|-195208453.45027852|-87673008.90425442|941468.8749286121
54|-67499875.6885409|-195289487.79412398|-87721874.17457405|959232.4386065105
55|-67066839.37803499|-195369773.35656482|-87770402.97614065|976996.0022844089
56|-66633546.77707358|-195449309.4219047|-87818594.93941784|994759.5659623072
57|-66199999.41481554|-195528095.27679902|-87866449.69587411|1012523.1296402055
58|-65766198.82314657|-195606130.21026364|-87913966.87798686|1030286.6933181039
59|-65332146.53667564|-195683413.51368392|-87961146.11924657|1048050.2569960022
