target: mars|target x|target y|target z|time
0|-247131936.17160082|-10919086.862601476|1696704.5376212718|0.0
1|-247099766.4742026|-11281107.341828316|1529792.003861202|17756.465148141804
2|-247066891.33734328|-11643097.44249082|1362874.3308721958|35512.93029628361
3|-247033310.70052812|-12005056.12177031|1195951.9953245297|53269.39544442541
4|-246999024.50477058|-12366982.336460229|1029025.4741071472|71025.86059256722
5|-246964032.6925938|-12728875.042966766|862095.244327425|88782.32574070903
6|-246928335.2080322|-13090733.19730952|695161.7833109042|106538.79088885082
7|-246891931.99663308|-13452555.755121818|528225.5686011948|124295.25603699262
8|-246854823.00545824|-13814341.67165178|361287.07795952074|142051.72118513443
9|-246817008.18308556|-14176089.90176264|194346.78936462663|159808.18633327624
10|-246778487.47961074|-14537799.399933431|27405.18101250194|177564.65148141806
11|-246739260.84664875|-14899469.120259624|-139537.2686838666|195321.11662955984
12|-246699328.23733553|-15261098.016453732|-306480.0810947325|213077.58177770165
13|-246658689.6063297|-15622685.041845977|-473422.7773738457|230834.04692584346
14|-246617344.9098141|-15984229.14938489|-640364.8784586815|248590.51207398524
15|-246575294.10549742|-16345729.291637981|-807305.9050707128|266346.9772221271
16|-246532537.15261596|-16707184.420792352|-974245.3777156351|284103.44237026887
17|-246489074.01193523|-17068593.48865544|-1141182.8166836752|301859.90751841065
18|-246444904.64575154|-17429955.44665535|-1308117.7420496903|319616.3726665525
19|-246400029.01789373|-17791269.24584199|-1475049.6736736381|337372.83781469427
20|-246354447.09372488|-18152533.83688737|-1641978.1312006917|355129.3029628361
21|-246308158.84014395|-18513748.170086414|-1808902.634061534|372885.7681109779
22|-246261164.22558737|-18874911.195357542|-1975822.701472614|390642.2332591197
23|-246213463.22003087|-19236021.862243406|-2142737.8524364084|408398.6984072615
24|-246165055.79499114|-19597079.119911548|-2309647.605741689|426155.1635554033
25|-246115941.92352742|-19958081.917155024|-2476551.479963783|443911.6287035451
26|-246066121.5802433|-20319029.202393167|-2643448.9934648406|461668.0938516869
27|-246015594.74128842|-20679919.9236722|-2810339.6643940937|479424.5589998287
28|-245964361.3843602|-21040753.028666046|-2977223.0106881745|497181.0241479705
29|-245912421.48870543|-21401527.46467668|-3144098.5500712357|514937.4892961123
30|-245859775.03512216|-21762242.178635314|-3310965.800055446|532693.9544442542
31|-245806422.00596136|-22122896.117102772|-3477824.2779410966|550450.4195923959
32|-245752362.3851286|-22483488.226270273|-3644673.500816947|568206.8847405377
33|-245697596.15808582|-22844017.451960128|-3811512.985560473|585963.3498886796
34|-245642123.3118532|-23204482.73962649|-3978342.248838173|603719.8150368213
35|-245585943.83501065|-23564883.03435602|-4145160.8071058244|621476.2801849631
36|-245529057.71769983|-23925217.28086864|-4311968.176608775|639232.745333105
37|-245471464.9516257|-24285484.423518237|-4478763.873382237|656989.2104812467
38|-245413165.53005844|-24645683.406293415|-4645547.413251556|674745.6756293885
39|-245354159.44783512|-25005813.172818273|-4812318.311832553|692502.1407775304
40|-245294446.7013615|-25365872.666352868|-4979076.084531654|710258.6059256722
41|-245234027.28861386|-25725860.82979438|-5145820.24654641|728015.071073814
42|-245172901.2091407|-26085776.60567758|-5312550.312865641|745771.5362219558
43|-245111068.46406457|-26445618.93617564|-5479265.79826976|763528.0013700976
44|-245048529.0560839|-26805386.763100885|-5645966.2173310835|781284.4665182394
45|-244985282.9894747|-27165079.027905572|-5812651.084414126|799040.9316663812
46|-244921330.2700926|-27524694.67168261|-5979319.913675891|816797.396814523
47|-244856670.90537426|-27884232.635166377|-6145972.219066186|834553.8619626648
48|-244791304.90433958|-28243691.858733453|-6312607.514327919|852310.3271108066
49|-244725232.27759334|-28603071.282403402|-6479225.312997412|870066.7922589484
50|-244658453.037327|-28962369.845839635|-6645825.1284047365|887823.2574070902
51|-244590967.19732058|-29321586.48834989|-6812406.473673884|905579.722555232
52|-244522774.77294457|-29680720.148887485|-6978968.861723296|923336.1877033738
