sail 0 mars; shortest distance: 90110826.39390826|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
0|-27823036.483308997|131961690.0736037|57237285.41582548|0.0|0.6|-29.469955163651036|-5.151019103523637|-2.233549830993747|-219308899.68829182|-142880776.93620518|-55540580.878204204|267574412.1261807
1|-28346203.14990003|131869412.55511138|57197272.563230105|17756.465148141804|0.6|-29.456898607086018|-5.242657066361222|-2.273296899694521|-218753563.32430258|-143150519.8969397|-55667480.5593689|267290219.06098902
2|-28869134.84763418|131775508.2653234|57156554.11445193|35512.93029628361|0.6|-29.4434790663292|-5.334249057994855|-2.3130240368407615|-218197756.48970908|-143418605.70781422|-55793679.78357974|267005790.39434424
3|-29391825.14098427|131679978.03113544|57115130.42800695|53269.39544442541|0.6|-29.42969669370395|-5.425793669795039|-2.352730631454274|-217641485.55954385|-143685034.15290576|-55919178.43268242|266721127.3834021
4|-29914267.478211172|131582822.72076978|57073001.88033344|71025.86059256722|0.6|-29.415551652682424|-5.517289466489672|-2.3924160610007346|-217084757.0265594|-143949805.05723|-56043976.40622629|266436231.39640093
5|-30436455.43088201|131484043.21214218|57030168.8520768|88782.32574070903|0.6|-29.40104411203345|-5.608735038611269|-2.4320797141381245|-216527577.2617118|-144212918.25510895|-56168073.60774937|266151103.69729236
6|-30958382.563865483|131383640.40978053|56986631.735424966|106538.79088885082|0.6|-29.386174248987814|-5.700128974048857|-2.4717209783776632|-215969952.6441667|-144474373.60709006|-56291469.95211406|265865745.56278288
7|-31480042.445233483|131281615.24313931|56942390.933377504|124295.25603699262|0.6|-29.370942248883097|-5.7914698602545664|-2.511339241040896|-215411889.5513996|-144734170.99826112|-56414165.36477631|265580158.27328405
8|-32001428.646410834|131177968.66667233|56897446.85977721|142051.72118513443|0.6|-29.35534830520188|-5.882756284292403|-2.550933889280848|-214853394.3590474|-144992310.33832413|-56536159.78181769|265294343.11293647
9|-32522534.742623165|131072701.65998219|56851799.93937491|159808.18633327624|0.6|-29.33939261966185|-5.973986832988176|-2.590504310147052|-214294473.4404624|-145248791.56174484|-56657453.15001028|265008301.36944363
10|-33043354.313052986|130965815.22776464|56805450.60780536|177564.65148141806|0.6|-29.32307540221341|-6.065160092988737|-2.6300498906112404|-213735133.16655776|-145503614.62769806|-56778045.42679285|264722034.33401382
11|-33563880.94013524|130857310.39981054|56758399.31158805|195321.11662955984|0.6|-29.30639687097369|-6.15627465050815|-2.6695700174572536|-213175379.9065135|-145756779.52007017|-56897936.580271915|264435543.30203298
12|-34084108.21010912|130747188.23101382|56710646.50813072|213077.58177770165|0.6|-29.289357252282514|-6.247329091523382|-2.709064077365917|-212615220.02722642|-146008286.24746755|-57017126.589225456|264148829.57272416
13|-34604029.713178694|130635449.80137835|56662192.66573227|230834.04692584346|0.6|-29.27195678072065|-6.338322001829804|-2.7485314569391095|-212054659.89315102|-146258134.84322435|-57135615.443106115|263861894.44912514
14|-35123639.04366368|130522096.21602459|56613038.26358572|248590.51207398524|0.6|-29.25419569912715|-6.429251967093151|-2.787971542722307|-211493705.8661504|-146506325.3654095|-57253403.142044395|263574739.23807347
15|-35642929.80015025|130407128.60519633|56563183.79178106|266346.9772221271|0.6|-29.236074258616636|-6.520117572901498|-2.827383721227117|-210932364.30534717|-146752857.8968343|-57370489.696851775|263287365.25019336
16|-36161895.58564172|130290548.12426744|56512629.75130826|284103.44237026887|0.6|-29.217592718596645|-6.61091740481721|-2.8667673789538193|-210370641.56697425|-146997732.5450598|-57486875.129023895|262999773.79988232
17|-36680530.0077094|130172355.95374857|56461376.65406014|301859.90751841065|0.6|-29.19875134678492|-6.701650048428919|-2.906121902413904|-209808544.00422585|-147240949.442404|-57602559.47074381|262711966.2052993
