sail 1 mars; shortest distance: 89317457.84837721|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
0|-26284703.123356413|132570347.13315175|57509710.73235204|0.0|0.0|-29.539497131482754|-4.804099664623464|-2.082963185341218|233211841.1687627|-133787950.16977061|-63648509.743119285|276293523.7468898
1|-26809071.520534933|132484299.54281352|57472402.02122375|17756.465148141804|0.0|-29.52271748794217|-4.887867018676207|-2.1193019080007987|233759174.99922195|-133271819.67415531|-63414550.10395447|276452771.6997324
2|-27333139.116406713|132396765.04557279|57434448.28188689|35512.93029628361|0.0|-29.50560728130639|-4.9715756846757175|-2.15561518360123|234305216.661844|-132754200.31581306|-63179917.736958064|276612209.16961247
3|-27856900.061677214|132307744.69210713|57395849.969916224|53269.39544442541|0.0|-29.48816683369239|-5.0552242485079475|-2.191902398690958|234849960.4327117|-132235095.1961605|-62944614.04170818|276771835.18856007
4|-28380348.38696771|132217239.58188021|57356607.56204561|71025.86059256722|0.0|-29.470396483781236|-5.138811267576513|-2.2281629274622534|235393400.47373846|-131714507.46444896|-62708640.4386656|276931648.69486845
5|-28903478.247195408|132125250.81836404|57316721.53675211|88782.32574070903|0.0|-29.45229657314105|-5.222335329914057|-2.2643961573941014|235935531.07704252|-131192440.27296996|-62471998.349750005|277091648.714273
6|-29426283.79367707|132031779.53217831|57276192.38428927|106538.79088885082|0.0|-29.433867453338312|-5.305795023297508|-2.300601475854205|236476346.53704432|-130668896.80017778|-62234689.20836538|277251834.26506954
7|-29948759.18401403|131936826.87882051|57235020.605702825|124295.25603699262|0.0|-29.41510948520206|-5.389188937653882|-2.3367782711426432|237015841.16034535|-130143880.24840264|-61996714.458407834|277412204.3650819
8|-30470898.582282845|131840394.03874803|57193206.71286628|142051.72118513443|0.0|-29.396023038848476|-5.4725156651363385|-2.372925932524862|237554009.2659125|-129617393.8439162|-61758075.55429337|277572758.0317779
9|-30992696.15957742|131742482.21734013|57150751.228464454|159808.18633327624|0.0|-29.376608493644465|-5.555773800342283|-2.4090438503262908|238090845.1856139|-129089440.83687674|-61518773.96093357|277733494.2826196
10|-31514146.0940267|131643092.64484233|57107654.68596935|177564.65148141806|0.0|-29.35686623818583|-5.638961940321149|-2.4451314159357134|238626343.2642302|-128560024.50125693|-61278811.15370362|277894412.1349569
11|-32035242.57018866|131542226.57654998|57063917.6297198|195321.11662955984|0.0|-29.336796670394552|-5.722078684326456|-2.481188021697716|239160497.85884216|-128029148.1350107|-61038188.61851418|278055510.6055175
12|-32555979.77962132|131439885.2926497|57019540.61485262|213077.58177770165|0.0|-29.316400197435357|-5.80512263404699|-2.5172130610129697|239693303.33939487|-127496815.05989815|-60796907.85173476|278216788.7107127
13|-33076351.921057347|131336070.0981767|56974524.20728421|230834.04692584346|0.0|-29.29567723569361|-5.888092393676488|-2.5532059283684623|240224754.08886603|-126963028.62142622|-60554970.3601675|278378245.4666708
14|-33596353.2005755|131230782.32297322|56928868.98369244|248590.51207398524|0.0|-29.274628210753676|-5.970986569982024|-2.589166019367166|240754844.5034306|-126427792.1887907|-60312377.66102132|278539879.88926965
15|-34115977.83177206|131124023.3216467|56882575.531498544|266346.9772221271|0.0|-29.2532535573773|-6.053803772372409|-2.6250927307577108|241283568.99262542|-125891109.15481779|-60069131.28188608|278701690.9941699
16|-34635220.03593231|131015794.47352827|56835644.448849134|284103.44237026887|0.0|-29.23155371948195|-6.136542612966583|-2.6609854604640484|241810921.97951388|-125352982.9359062|-59825232.76070682|278863677.79684913
17|-35154074.042261526|130906097.18259645|56788076.34458312|301859.90751841065|0.0|-29.209529150099332|-6.219201706686834|-2.6968436076259006|242336897.9009102|-124813416.97193453|-59580683.64574299|279025839.31267065
18|-35672534.08934586|130794932.8766885|56739871.83788956|319616.3726665525|0.0|-29.18718031092299|-6.301779671864786|-2.7326665728616306|242861491.2088331|-124272414.725456|-59335485.49521862|279188174.5576398
19|-36190594.423795|130682303.00834443|56691031.55867387|337372.83781469427|0.0|-29.164507672797388|-6.384275129672401|-2.7684537580214204|243384696.36914152|-123729979.68252632|-59089639.877680786|279350682.54760283
20|-36708249.300329834|130568209.05481392|56641556.14756072|355129.3029628361|0.0|-29.14151171572424|-6.466686704155474|-2.8042045662017885|243906507.86161536|-123186115.35269426|-58843148.37199489|279513362.2982345
21|-37225492.98237541|130452652.51777035|56591446.25577009|372885.7681109779|0.0|-29.1181929287001|-6.549013022477727|-2.839918401851492|244426920.180541|-122640825.26869933|-58596012.567213036|279676212.82531196
22|-37742319.74224272|130335634.92326325|56540702.54509654|390642.2332591197|0.0|-29.094551809691264|-6.63125271499354|-2.875594670803068|244945927.8348861|-122094112.98640814|-58348234.06254567|279839233.14476234
23|-38258723.86131052|130217157.82167053|56489325.68788861|408398.6984072615|0.0|-29.07058886560868|-6.713404415320656|-2.9112327803043807|245463525.34847397|-121545982.08475032|-58099814.467333354|280002422.27271163
24|-38774699.63020713|130097222.78765084|56437316.367028095|426155.1635554033|0.0|-29.046304612282842|-6.7954667604128955|-2.946832139050163|245979707.2601581|-120996436.16565478|-57850755.40101844|280165779.22553444
25|-39290241.34899229|129975831.42009588|56384675.27590939|443911.6287035451|0.0|-29.021699574438713|-6.877438390632878|-2.9823921572135625|246494468.12399653|-120445478.85398594|-57601058.493116796|280329303.0199044
26|-39805343.32675488|129852985.34190573|56331403.11834197|461668.0938516869|0.0|-28.996774285563987|-6.959317949584928|-3.017912246373664|247007802.50884205|-119893113.79730293|-57350725.38311277|280492992.67224014
27|-40319999.88007488|129728686.19941981|56277500.608303554|479424.5589998287|0.0|-28.971529287569883|-7.041104083481607|-3.053391819240691|247519704.9967968|-119339344.66527458|-57099757.72020476|280656847.1969722
28|-40834205.336706825|129602935.66343066|56222968.470379956|497181.0241479705|0.0|-28.94596513140555|-7.122795442654206|-3.0888302903112503|248030170.18688774|-118784175.15067716|-56848157.16373751|280820865.6102254
29|-41347954.034510195|129475735.42875685|56167807.43957981|514937.4892961123|0.0|-28.92008237680442|-7.204390681111625|-3.124227075676981|248539192.69398978|-118227608.96895136|-56595925.383009344|280985046.928577
30|-41861240.32140852|129347087.21412785|56112018.2612846|532693.9544442542|0.0|-28.893881592218445|-7.28588845652164|-3.1595815930164246|249046767.14877674|-117669649.8580713|-56343064.057214685|281149390.1688807
31|-42374058.55555343|129216992.76213104|56055601.69122569|550450.4195923959|0.0|-28.867363354789777|-7.367287430276338|-3.194893261623416|249552888.19787785|-117110301.57847555|-56089574.87541358|281313894.3483038
32|-42886403.10548877|129085453.8391585|55998558.49546128|568206.8847405377|0.0|-28.840528250322425|-7.448586267557553|-3.2301615024354664|250057550.50403386|-116549567.91299827|-55835459.536501184|281478558.4843654
33|-43398268.35031465|128952472.23535416|55940889.45035339|585963.3498886796|0.0|-28.813376873253937|-7.529783637402292|-3.2653857380621507|250560748.74625313|-115987452.6668004|-55580719.74917734|281643381.59497523
34|-43909648.67985153|128818049.76456054|55882595.3425449|603719.8150368213|0.0|-28.785909826627048|-7.610878212768177|-3.300565392813493|251062477.61996785|-115423959.66730079|-55325357.23191607|281808362.698474
35|-44420538.49410039|128682188.2635358|55823676.96861976|621476.2801849631|0.0|-28.75812772163365|-7.69186867025889|-3.3356998925808834|251562731.8364859|-114859092.76337746|-55069373.712618515|281973500.8126861
36|-44930932.20358133|128544889.59208164|55764135.13515856|639232.745333105|0.0|-28.730031177692517|-7.77275369027392|-3.370788664902035|252061506.12332144|-114292855.8254799|-54812770.928660974|282138794.95521176
37|-45440824.230527565|128406155.63405839|55703970.659178905|656989.2104812467|0.0|-28.70162082304675|-7.853531957571404|-3.405831139205121|252558795.22538084|-113725252.74662855|-54555550.62732795|282304244.1449142
38|-45950209.0084268|128265988.29668619|55643184.36783222|674745.6756293885|0.0|-28.6728972943571|-7.934202161032821|-3.440826746706715|253054593.90449554|-113156287.44170032|-54297714.56550161|282469847.4010891
39|-46459080.98217607|128124389.5104823|55581777.098376594|692502.1407775304|0.0|-28.643861236668002|-8.014762993723958|-3.4757749204382393|253548896.9395687|-112585963.84735052|-54039264.50962723|282635603.7434958
40|-46967434.60823759|127981361.22919953|55519749.69815007|710258.6059256722|0.0|-28.614513303374252|-8.095213152956356|-3.5106750952726222|254041699.1267226|-112014285.92193563|-53780202.23567919|282801512.1923926
41|-47475264.35479452|127836905.4297646|55457103.02454391|728015.071073814|0.0|-28.58485415618766|-8.175551340348774|-3.5455267079509567|254532995.27944607|-111441257.64543638|-53520529.52912692|282967571.76857066
42|-47982564.70190689|127691024.11221658|55393837.94497588|745771.5362219558|0.0|-28.554884465103697|-8.255776261888622|-3.5803291971091604|255022780.2287418|-110866883.01938066|-53260248.184900895|283133781.4933912
43|-48489330.14162194|127543719.29956956|55329955.33683069|763528.0013700976|0.0|-28.524604908325845|-8.335886627968854|-3.615082003293972|255511048.8232281|-110291166.06669092|-52999360.007325776|283300140.3887449
44|-48995555.17743162|127394993.0365872|55265456.086928405|781284.4665182394|0.0|-28.494016171581695|-8.41588115307167|-3.649784568825775|255997795.9285878|-109714110.83044338|-52737866.80958161|283466647.4759154
45|-49501234.32532543|127244847.39121598|55200341.09214618|799040.9316663812|0.0|-28.463118948925217|-8.495758556315156|-3.6844363380356966|256483016.42861244|-109135721.37528603|-52475770.414318286|283633301.7771365
46|-50006362.11390706|127093284.45445848|55134611.25936331|816797.396814523|0.0|-28.431913942666945|-8.575517561493566|-3.7190367572830816|256966705.2253101|-108556001.78729662|-52213072.653593384|283800102.3155636
47|-50510933.084351204|126940306.33997984|55068267.50529052|834553.8619626648|0.0|-28.400401863155174|-8.655156897031079|-3.753585274935447|257448857.23885337|-107974956.17357406|-51949775.368694276|283967048.11497855
48|-51014941.79055379|126785915.18403703|55001310.756439276|852310.3271108066|0.0|-28.36858342873746|-8.734675296040253|-3.788081341393835|257929467.40772074|-107392588.66215244|-51685880.410100214|284134138.19982266
49|-51518382.799282275|126630113.14540784|54933741.94909101|870066.7922589484|0.0|-28.33645936572207|-8.814071496380464|-3.822524409118167|258408530.68883812|-106808903.40191501|-51421389.63744446|284301371.5952311
50|-52021250.69032587|126472902.40532018|54865562.0292664|887823.2574070902|0.0|-28.304030408339496|-8.893344240716347|-3.856913932652596|258886042.05771965|-106223904.56250845|-51156304.919476375|284468747.3270671
51|-52523540.05664589|126314285.16738103|54796771.95269463|905579.722555232|0.0|-28.271297298703892|-8.972492276576242|-3.8912493686508633|259361996.50860953|-105637596.33425672|-50890628.13402356|284636264.4219581
52|-53025245.504021|126154263.65680304|54727372.68447781|923336.1877033738|0.0|-28.23826078638935|-9.051514356132296|-3.925530175780919|259836389.05411768|-105049982.92737284|-50624361.16764918|284803921.90655786
