target: mars|target x|target y|target z|time
0|206927138.0454063|-1217603.0366188642|-6138799.010767246|0.0
1|206950103.47868702|-787520.1313417889|-5942148.082730716|17756.465148141804
2|206972077.54543728|-357435.27024028264|-5745469.455071174|35512.93029628361
3|206993060.37103447|72649.49594663084|-5548764.071791956|53269.39544442541
4|207013052.08677074|502732.11743126065|-5352032.876619989|71025.86059256722
5|207032052.82984713|932810.5453940723|-5155276.812997894|88782.32574070903
6|207050062.74336725|1362882.7320005298|-4958496.824076107|106538.79088885082
7|207067081.97633132|1792946.6304178722|-4761693.852705011|124295.25603699262
8|207083110.68362966|2223000.194831835|-4564868.841427097|142051.72118513443
9|207098149.02603647|2653041.380463388|-4368022.732469117|159808.18633327624
10|207112197.1702035|3083068.1435854025|-4171156.4677342665|177564.65148141806
11|207125255.2886535|3513078.4415392764|-3974270.9887943803|195321.11662955984
12|207137323.55977353|3943070.23275155|-3777367.2368821385|213077.58177770165
13|207148402.16780868|4373041.476750473|-3580446.152883289|230834.04692584346
14|207158491.3028551|4802990.134182528|-3383508.677328884|248590.51207398524
15|207167591.16085336|5232914.166828919|-3186555.7503875378|266346.9772221271
16|207175701.94358158|5662811.537622057|-2989588.311857684|284103.44237026887
17|207182823.8586487|6092680.210661922|-2792607.301159875|301859.90751841065
18|207188957.11948723|6522518.151232503|-2595613.6573290587|319616.3726665525
19|207194101.94534653|6952323.325818105|-2398608.319006914|337372.83781469427
20|207198258.56128553|7382093.702119664|-2201592.2244341685|355129.3029628361
21|207201427.1981656|7811827.249071012|-2004566.311442948|372885.7681109779
22|207203608.09264338|8241521.936855107|-1807531.5174491345|390642.2332591197
23|207204801.48716345|8671175.736920215|-1610488.779444749|408398.6984072615
24|207205007.62995097|9100786.621996058|-1413439.033990344|426155.1635554033
25|207204226.77500424|9530352.566109944|-1216383.2172074094|443911.6287035451
26|207202459.18208718|9959871.544602798|-1019322.2647708082|461668.0938516869
27|207199705.1167219|10389341.534145232|-822257.1119012092|479424.5589998287
28|207195964.85018092|10818760.512753505|-625188.6933575543|497181.0241479705
29|207191238.6594796|11248126.459805485|-428117.94342953525|514937.4892961123
30|207185526.82736823|11677437.356056556|-231045.79593008454|532693.9544442542
31|207178829.64232442|12106691.18365548|-33973.18418788654|550450.4195923959
32|207171147.3985451|12535885.92616023|163098.9589600931|568206.8847405377
33|207162480.3959385|12965019.568553755|360169.7011760578|585963.3498886796
34|207152828.94011632|13394090.097259752|557238.1106288257|603719.8150368213
35|207142193.3423855|13823095.500158342|754303.256001243|621476.2801849631
36|207130573.9197401|14252033.766601734|951364.2064975884|639232.745333105
37|207117970.9948533|14680902.88742984|1148420.0318509527|656989.2104812467
38|207104384.89606875|15109700.85498586|1345469.802330612|674745.6756293885
39|207089815.95739263|15538425.663131775|1542512.5887493659|692502.1407775304
40|207074264.518485|15967075.30726389|1739547.4624708826|710258.6059256722
41|207057730.92465156|16395647.78432822|1936573.4954169923|728015.071073814
42|207040215.5268349|16824141.092835914|2133589.76007499|745771.5362219558
43|207021718.68160614|17252553.232878633|2330595.3295049155|763528.0013700976
44|207002240.75115618|17680882.206143804|2527589.2773467964|781284.4665182394
45|206981782.103287|18109126.01592995|2724570.6778278966|799040.9316663812
46|206960343.11140302|18537282.667161856|2921538.605769926|816797.396814523
47|206937924.15450215|18965350.166405786|3118492.1365962513|834553.8619626648
48|206914525.61716697|19393326.521884594|3315430.346339063|852310.3271108066
49|206890147.88955584|19821209.743492823|3512352.311646548|870066.7922589484
50|206864791.3673938|20248997.842811733|3709257.1097900267|887823.2574070902
51|206838456.45196363|20676688.833124306|3906143.8186710733|905579.722555232
52|206811143.5500967|21104280.729430206|4103011.5168286306|923336.1877033738
53|206782853.0741637|21531771.548460644|4299859.283446077|941092.6528515156
54|206753585.44206566|21959159.308693282|4496686.198358303|958849.1179996574
55|206723341.0772244|22386442.030367017|4693491.342058751|976605.5831477992
56|206692120.4085733|22813617.735496752|4890273.795706442|994362.048295941
57|206659923.87054795|23240684.4478881|5087032.641132972|1012118.5134440828
58|206626751.90307662|23667640.193152085|5283766.960849514|1029874.9785922247
59|206592604.95157078|24094482.998719737|5480475.838053759|1047631.4437403665
60|206557483.46691552|24521210.893856667|5677158.356636882|1065387.9088885083
61|206521387.90545997|24947821.909677625|5873813.601190446|1083144.37403665
62|206484318.72900748|25374314.07916093|6070440.657013325|1100900.8391847918
63|206446276.4048061|25800685.437162943|6267038.610118566|1118657.3043329336
64|206407261.40553868|26226934.020432442|6463606.547240267|1136413.7694810755
65|206367274.20931292|26653057.86762493|6660143.555840405|1154170.2346292173
66|206326315.29965165|27079055.01931697|6856648.724115672|1171926.6997773591
67|206284385.16548285|27504923.51802037|7053121.141004259|1189683.164925501
68|206241484.3011295|27930661.408196397|7249559.896192642|1207439.6300736426
69|206197613.20629972|28356266.73626993|7445964.080122339|1225196.0952217844
70|206152772.3860765|28781737.55064351|7642332.78399664|1242952.5603699263
71|206106962.35090762|29207071.901711427|7838665.099787332|1260709.025518068
72|206060183.61659542|29632267.84187366|8034960.120241381|1278465.49066621
73|206012436.70428652|30057323.425549857|8231216.938887611|1296221.9558143518
74|205963722.14046144|30482236.709193215|8427434.650043352|1313978.4209624934
75|205914040.4569244|30907005.751304314|8623612.348821064|1331734.8861106352
76|205863392.19079274|31331628.612444907|8819749.13113496|1349491.351258777
77|205811777.88448647|31756103.355251655|9015844.093707565|1367247.816406919
78|205759198.0857178|32180428.04444982|9211896.334076297|1385004.2815550608
79|205705653.34748057|32604600.74686693|9407904.95060001|1402760.7467032026
80|205651144.2280395|33028619.5314463|9603869.042465502|1420517.2118513444
81|205595671.29091975|33452482.469260637|9799787.709694015|1438273.676999486
82|205539235.10489595|33876187.633525476|9995660.05314772|1456030.142147628
83|205481836.2439816|34299733.09961262|10191485.174536139|1473786.6072957697
84|205423475.28741816|34723116.94506356|10387262.176422624|1491543.0724439116
85|205364152.81966424|35146337.24960275|10582990.162230719|1509299.5375920534
86|205303869.43038467|35569392.09515092|10778668.236250568|1527056.0027401953
87|205242625.71443954|35992279.56583826|10974295.503645267|1544812.4678883369
88|205180422.27187312|36414997.748017654|11169871.070457214|1562568.9330364787
89|205117259.7079029|36837544.73027773|11365394.043614415|1580325.3981846205
90|205053138.6329085|37259918.60345602|11560863.530936794|1598081.8633327624
91|204988059.66242042|37682117.46065186|11756278.641142432|1615838.3284809042
92|204922023.4171089|38104139.39723942|11951638.483853849|1633594.793629046
93|204855030.5227727|38525982.51088062|12146942.16960422|1651351.2587771877
94|204787081.6103278|38947644.901537985|12342188.809843568|1669107.7239253295
95|204718177.3157961|39369124.67148739|12537377.516944937|1686864.1890734714
96|204648318.28029394|39790419.92533086|12732507.404210571|1704620.6542216132
97|204577505.15002078|40211528.770009294|12927577.58587803|1722377.119369755
98|204505738.57624775|40632449.31481504|13122587.177126303|1740133.5845178969
99|204433019.2153061|41053179.671404496|13317535.294081878|1757890.0496660387
100|204359347.72857562|41473717.95381069|13512421.053824835|1775646.5148141803
101|204284724.78247312|41894062.27845575|13707243.574394856|1793402.9799623222
102|204209151.04844075|42314210.76416326|13902001.974797253|1811159.445110464
103|204132627.20293438|42734161.53217076|14096695.375008957|1828915.9102586058
104|204055153.92741182|43153912.70614192|14291322.895984482|1846672.3754067477
105|203976731.90832108|43573462.412178904|14485883.659661865|1864428.8405548895
106|203897361.83708856|43992808.778834574|14680376.788968597|1882185.3057030311
107|203817044.41010725|44411949.937124595|14874801.40782751|1899941.770851173
108|203735780.32872486|44830884.02053957|15069156.64116265|1917698.2359993148
109|203653570.29923174|45249609.16505706|15263441.614905113|1935454.7011474567
110|203570415.0328492|45668123.50915362|15457655.4559989|1953211.1662955985
111|203486315.2457172|46086425.19381669|15651797.292406674|1970967.6314437403
112|203401271.65888256|46504512.3625565|15845866.253115572|1988724.096591882
113|203315284.99828678|46922383.16141787|16039861.468142925|2006480.5617400238
114|203228355.9947539|47340035.73899201|16233782.068542015|2024237.0268881656
115|203140485.38397834|47757468.24642822|16427627.186407741|2041993.4920363075
116|203051673.90651295|48174678.8374456|16621395.954882365|2059749.9571844493
117|202961922.30775645|48591665.66834464|16815087.508161128|2077506.4223325911
118|202871231.3379412|49008426.89801857|17008700.981497776|2095262.887480733
119|202779601.75212097|49424960.687965|17202235.51121024|2113019.3526288746
120|202687034.31015858|49841265.20229744|17395690.23468627|2130775.8177770167
121|202593529.77671364|50257338.60775655|17589064.290388934|2148532.2829251583
122|202499088.92123|50673179.07372157|17782356.817862164|2166288.7480733
123|202403712.51792338|51088784.77222154|17975566.957736284|2184045.213221442
124|202307401.34576893|51504153.877946526|18168693.85173345|2201801.6783695836
125|202210156.1884886|51919284.56825876|18361736.642673127|2219558.1435177256
126|202111977.83453867|52334175.02320374|18554694.474477526|2237314.6086658672
127|202012867.07709715|52748823.42552128|18747566.492176984|2255071.0738140093
128|201912824.7140511|53163227.96065648|18940351.84191536|2272827.538962151
129|201811851.54798412|53577386.81677067|19133049.670955382|2290584.0041102925
130|201709948.3861635|53991298.184752285|19325659.127683986|2308340.4692584346
131|201607116.04052758|54404960.25822766|19518179.36161762|2326096.934406576
132|201503355.32767302|54818371.2335718|19710609.52340751|2343853.3995547183
133|201398667.068842|55231529.30991911|19902948.76484494|2361609.86470286
134|201293052.08990934|55644432.689174|20095196.23886645|2379366.329851002
135|201186511.2213698|56057079.57602147|20287351.09955906|2397122.7949991436
136|201079045.29832506|56469468.1779377|20479412.50216546|2414879.260147285
137|200970655.16047084|56881596.705200486|20671379.603089135|2432635.7252954273
138|200861341.6520841|57293463.3708996|20863251.559899505|2450392.190443569
139|200751105.62200993|57705066.390947305|21055027.531337053|2468148.655591711
140|200639947.9236485|58116403.9840885|21246706.67731836|2485905.1207398525
141|200527869.4149423|58527474.371911064|21438288.15894119|2503661.585887994
142|200414870.95836273|58938275.778856024|21629771.138489507|2521418.051036136
143|200300953.42089733|59348806.43222761|21821154.779438466|2539174.516184278
144|200186117.6740365|59759064.5622035|22012438.246459395|2556930.98133242
145|200070364.59376043|60169048.40184465|22203620.70542477|2574687.4464805615
146|199953695.06052586|60578756.18710542|22394701.323413096|2592443.9116287036
147|199836109.95925298|60988186.15684332|22585679.26871384|2610200.376776845
148|199717610.17931208|61397336.552829005|22776553.710832283|2627956.841924987
149|199598196.6145105|61806205.61975594|22967323.82049439|2645713.307073129
150|199477870.16307914|62214791.60525021|23157988.76965161|2663469.7722212705
151|199356631.7276593|62623092.75988017|23348547.731485687|2681226.2373694126
152|199234482.21528938|63031107.33716602|23538999.880413413|2698982.702517554
153|199111422.53739133|63438833.59358943|23729344.3920914|2716739.1676656962
154|198987453.60975754|63846269.78860301|23919580.443420775|2734495.632813838
155|198862576.3525372|64253414.18463973|24109707.212551888|2752252.0979619795
156|198736791.6902231|64660265.04712233|24299723.878888965|2770008.5631101215
157|198610100.55163792|65066820.64447267|24489629.62309478|2787765.028258263
158|198482503.86992106|65473079.248120934|24679423.627095215|2805521.493406405
159|198354002.58251488|65879039.13251488|24869105.074083902|2823277.958554547
160|198224597.63115135|66284698.575129|25058673.148526777|2841034.423702689
161|198094289.96183842|66690055.856473625|25248127.036166593|2858790.8888508305
162|197963080.52484646|67095109.26010392|25437465.92402746|2876547.353998972
163|197830970.27469477|67499857.07262889|25626689.000419315|2894303.819147114
164|197697960.17013782|67904297.5837203|25815795.454942387|2912060.284295256
165|197564051.17415175|68308429.08612154|26004784.47849162|2929816.749443398
166|197429244.25392067|68712249.87565646|26193655.26326112|2947573.2145915395
167|197293540.38082296|69115758.25123805|26382407.00274849|2965329.679739681
168|197156940.53041762|69518952.51487719|26571038.891759202|2983086.144887823
169|197019445.6824306|69921830.97169125|26759550.12641095|3000842.6100359648
170|196881056.8207409|70324391.92991272|26947939.90413792|3018599.075184107
171|196741774.93336707|70726633.70089765|27136207.4236951|3036355.5403322484
172|196601601.01245317|71128554.59913413|27324351.88516249|3054112.0054803905
173|196460536.05425522|71530152.94225076|27512372.48994939|3071868.470628532
174|196318581.0591272|71931427.05102491|27700268.440798543|3089624.9357766737
175|196175737.0315074|72332375.24939106|27888038.941790342|3107381.400924816
176|196032004.9799044|72732995.86444898|28075683.198346965|3125137.8660729574
177|195887385.91688338|73133287.22647196|28263200.417236503|3142894.3312210995
178|195741880.85905206|73533247.66891488|28450589.80657706|3160650.796369241
179|195595490.82704696|73932875.5284223|28637850.575840812|3178407.261517383
180|195448216.84551942|74332169.14483637|28824981.93585806|3196163.7266655248
181|195300059.9431217|74731126.86120492|29011983.098821245|3213920.1918136664
182|195151021.15249294|75129747.02378923|29198853.278288953|3231676.6569618084
183|195001101.51024538|75528027.98207188|29385591.68918986|3249433.12210995
184|194850302.05695015|75925968.08876452|29572197.54782669|3267189.587258092
185|194698623.8371235|76323565.6998156|29758670.071880117|3284946.0524062337
186|194546067.8992127|76720819.17441802|29945008.48041267|3302702.5175543753
187|194392635.29558197|77117726.87501669|30131211.993872587|3320458.9827025174
188|194238327.08249852|77514287.1673161|30317279.83409763|3338215.447850659
189|194083144.3201185|77910498.42028776|30503211.224318944|3355971.912998801
190|193927088.07247284|78306359.00617774|30689005.3891648|3373728.3781469427
191|193770159.4074534|78701867.30051386|30874661.55466438|3391484.843295085
192|193612359.39679852|79097021.68211316|31060178.948251482|3409241.3084432264
