target: mars|target x|target y|target z|time
0|-153565956.25182116|173456895.3610035|83731742.28035107|0.0
1|-153891120.42488033|173241023.9148457|83641524.83364905|17756.465148141804
2|-154215844.05177063|173024652.2069072|83551066.0214627|35512.93029628361
3|-154540126.29873508|172807780.97413585|83460366.15926675|53269.39544442541
4|-154863966.33336812|172590410.95423838|83369425.56292064|71025.86059256722
5|-155187363.32461452|172372542.88567933|83278244.54866785|88782.32574070903
6|-155510316.4427693|172154177.50767922|83186823.43313506|106538.79088885082
7|-155832824.85947648|171935315.56021318|83095162.5333316|124295.25603699262
8|-156154887.7477293|171715957.78400925|83003262.16664861|142051.72118513443
9|-156476504.28186882|171496104.9205471|82911122.65085836|159808.18633327624
10|-156797673.6375839|171275757.71205625|82818744.30411352|177564.65148141806
11|-157118394.99191028|171054916.90151483|82726127.44494654|195321.11662955984
12|-157438667.52323022|170833583.23264772|82633272.39226879|213077.58177770165
13|-157758490.41127163|170611757.44992554|82540179.46537004|230834.04692584346
14|-158077862.8371079|170389440.29856262|82446848.98391758|248590.51207398524
15|-158396783.98315668|170166632.524516|82353281.26795565|266346.9772221271
16|-158715253.0331801|169943334.87448353|82259476.63790469|284103.44237026887
17|-159033269.1722833|169719548.0959028|82165435.41456068|301859.90751841065
18|-159350831.5869146|169495272.9369493|82071157.9190944|319616.3726665525
19|-159667939.46486455|169270510.14653513|81976644.47305076|337372.83781469427
20|-159984591.99526525|169045260.47430772|81881895.39834824|355129.3029628361
21|-160300788.36859018|168819524.67064813|81786911.01727799|372885.7681109779
22|-160616527.776653|168593303.48666978|81691691.65250337|390642.2332591197
23|-160931809.41260764|168366597.67421672|81596237.62705907|408398.6984072615
24|-161246632.4709471|168139407.98586255|81500549.26435062|426155.1635554033
25|-161560996.14750335|167911735.17490867|81404626.88815355|443911.6287035451
26|-161874899.6394464|167683579.9953832|81308470.82261287|461668.0938516869
27|-162188342.1452841|167454943.20203915|81212081.39224227|479424.5589998287
28|-162501322.864861|167225825.55035353|81115458.92192362|497181.0241479705
29|-162813840.99935848|166996227.7965254|81018603.73690616|514937.4892961123
30|-163125895.7512934|166766150.69747487|80921516.16280589|532693.9544442542
31|-163437486.3245183|166535595.0108415|80824196.52560496|550450.4195923959
32|-163748611.92422011|166304561.49498302|80726645.15165098|568206.8847405377
33|-164059271.75692025|166073050.90897387|80628862.36765635|585963.3498886796
34|-164369465.03047338|165841064.01260394|80530848.50069769|603719.8150368213
35|-164679190.9540674|165608601.56637698|80432603.87821507|621476.2801849631
36|-164988448.73822263|165375664.33150944|80334128.82801147|639232.745333105
37|-165297237.59479108|165142253.0699291|80235423.67825216|656989.2104812467
38|-165605556.7369563|164908368.5442735|80136488.75746393|674745.6756293885
39|-165913405.3792323|164674011.51788896|80037324.39453463|692502.1407775304
40|-166220782.73746353|164439182.75482878|79937930.91871238|710258.6059256722
41|-166527688.02882382|164203883.0198524|79838308.65960504|728015.071073814
42|-166834120.47181624|163968113.0784236|79738457.94717954|745771.5362219558
43|-167140079.28627205|163731873.6967095|79638379.11176132|763528.0013700976
44|-167445563.69335076|163495165.6415791|79538072.48403355|781284.4665182394
45|-167750572.9155389|163257989.68060198|79437538.39503676|799040.9316663812
46|-168055106.1766501|163020346.58204693|79336777.17616795|816797.396814523
47|-168359162.70182395|162782237.1148809|79235789.15918022|834553.8619626648
48|-168662741.71752593|162543662.04876724|79134574.67618196|852310.3271108066
49|-168965842.4515465|162304622.15406495|79033134.0596364|870066.7922589484
50|-169268464.1330008|162065118.20182687|78931467.64236087|887823.2574070902
51|-169570605.99232787|161825150.96379888|78829575.7575263|905579.722555232
52|-169872267.26129037|161584721.21241814|78727458.73865655|923336.1877033738
53|-170173447.17297372|161343829.72081226|78625116.91962788|941092.6528515156
54|-170474144.9617858|161102477.26279777|78522550.63466826|958849.1179996574
55|-170774359.86345637|160860664.61287877|78419760.21835685|976605.5831477992
