sail 58 mars; shortest distance: 53531221.57824561|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
0|139978765.02235952|-50559195.33643783|-21891495.149246667|0.0|0.0|10.390768227405202|25.82088913844664|11.194356602520523|-293544721.27418065|224016090.6974413|105623237.42959774|384067677.06279296
1|140162536.61591354|-50100444.471216604|-21692609.007530704|17756.465148141804|0.0|10.308340659412497|25.850506785565642|11.207180596399805|-294053657.0407939|223341468.38606232|105334133.84117976|383984693.01780623
2|140344843.48569903|-49641170.078962535|-21493496.187858596|35512.93029628361|0.0|10.225790527220617|25.879859597191718|11.219889771044011|-294560687.5374696|222665822.28586975|105044562.20932129|383901585.1836735
3|140525683.58519995|-49181376.607296765|-21294158.618491184|53269.39544442541|0.0|10.143119096947261|25.90894701964059|11.232483886668428|-295065809.88393503|221989157.5814326|104754524.77775794|383818353.79198647
4|140705054.6619029|-48721069.01523164|-21094598.449397296|71025.86059256722|0.0|10.060327781727477|25.93776844458129|11.244962679826266|-295569020.995271|221311479.96947002|104464024.01231794|383734999.2523828
5|140882954.60298833|-48260252.02229908|-20894817.726714134|88782.32574070903|0.0|9.977417927812596|25.966323302404366|11.257325903843675|-296070317.9276029|220632794.90797842|104173062.27538198|383651521.8925745
6|141059381.31557405|-47798930.36677689|-20694818.50470122|106538.79088885082|0.0|9.894390888129386|25.994611029957365|11.26957331484688|-296569697.75834334|219953107.8744561|103881641.93783629|383567922.0474622
7|141234332.73120484|-47337108.79702834|-20494602.84198554|124295.25603699262|0.0|9.811248019795876|26.02263107177635|11.281704672295563|-297067157.5906813|219272424.3572415|103589765.37531714|383484200.05656314
8|141407806.80510768|-46874792.07102094|-20294172.801353112|142051.72118513443|0.0|9.72799068391307|26.05038287986198|11.293719738885763|-297562694.552837|218590749.85503018|103297434.96800172|383400356.26313376
9|141579801.51685503|-46411984.95644507|-20093530.449800298|159808.18633327624|0.0|9.644620245603901|26.077865913898208|11.305618280644694|-298056305.7987238|217908089.87699217|103004653.10065866|383316391.014797
10|141750314.87051094|-45948692.23003088|-19892677.858237628|177564.65148141806|0.0|9.56113807368196|26.10507964133906|11.317400066968297|-298547988.50809485|217224449.9420871|102711422.16235115|383232304.6632219
11|141919344.89450186|-45484918.67783344|-19691617.101613477|195321.11662955984|0.0|9.477545540792498|26.132023537349497|11.32906487059562|-299037739.88641214|216539835.57934827|102417744.54656002|383148097.5642566
12|142086889.64142385|-45020669.09568367|-19490350.259109545|213077.58177770165|0.0|9.393844023636749|26.158697084716053|11.340612467570136|-299525557.1646541|215854252.32833138|102123622.65137833|383063770.0781171
13|142252947.18828923|-44555948.28865903|-19288879.413911365|230834.04692584346|0.0|9.310034902712298|26.18509977395948|11.35204263728852|-300011437.59956086|215167705.73858458|101829058.8792814|382979322.56924975
14|142417515.6366|-44090761.07094266|-19087206.653147243|248590.51207398524|0.0|9.226119562245412|26.211231103367638|11.363355162514894|-300495378.4737079|214480201.3695053|101534055.63706481|382894755.4063271
15|142580593.11242113|-43625112.2656826|-18885334.06782722|266346.9772221271|0.0|9.14209939012336|26.23709057902839|11.374549829395077|-300977377.09557784|213791744.7901986|101238615.33578287|382810068.9622436
16|142742177.766454|-43159006.70485096|-18683263.752782006|284103.44237026887|0.0|9.057975777826746|26.262677714862473|11.385626427470816|-301457430.7996341|213102341.5793345|100942740.39068669|382725263.6141141
17|142902267.77410963|-42692449.22910309|-18480997.806601945|301859.90751841065|0.0|8.973750120361832|26.28799203265641|11.396584749694041|-301935536.9463929|212411997.3250059|100646433.22116262|382640339.7432723
18|143060861.33558196|-42225444.6876368|-18278538.331575945|319616.3726665525|0.0|8.889423816192854|26.313033062095357|11.407424592441108|-302411692.92249656|211720717.6245861|100349696.25067034|382555297.73527104
19|143217956.67595416|-41757997.93776012|-18075887.433504112|337372.83781469427|0.0|8.804998267017298|26.33780034080883|11.41814575553255|-302885896.1408187|211028508.08429524|100052531.90655488|382470137.9797153
20|143373552.04545584|-41290113.84311354|-17873047.22092712|355129.3029628361|0.0|8.720474876815953|26.362293414475367|11.428748042278304|-303358144.04072106|210335374.31742126|99754942.61927536|382384860.8693282
