sail 7 mars; shortest distance: 60052993.98040503|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
0|139978765.02235952|-50559195.33643783|-21891495.149246667|0.0|0.45|10.390768227405202|25.82088913844664|11.194356602520523|-293544721.27418065|224016090.6974413|105623237.42959774|384067677.06279296
1|140162520.5965072|-50100390.52275242|-21692585.625339862|17756.465148141804|0.45|10.306534749787078|25.856583763275747|11.209814462653172|-294053641.0213875|223341414.4375981|105334110.45898892|383984642.95738244
2|140344779.16047373|-49640954.31525349|-21493402.67220638|35512.93029628361|0.45|10.222154190475642|25.892009180048703|11.225155603918026|-294560623.2122444|222665606.5221607|105044468.69366908|383901385.095447
3|140525538.34912476|-49180891.076225966|-21293948.181171875|53269.39544442541|0.45|10.137627683947851|25.927164743327253|11.240379746734996|-295065664.6478598|221988672.0503618|104754314.34043863|383817903.8889429
4|140704795.54809523|-48720205.67958044|-21094224.265379116|71025.86059256722|0.45|10.052956500498839|25.962049739548334|11.25548658201763|-295568761.88146335|221310616.63381884|104463649.82829976|383734199.89679307
5|140882547.80639634|-48258903.61244978|-20894233.303842112|88782.32574070903|0.45|9.96814206934937|25.99666336323755|11.27047576086641|-296069911.1310109|220631446.49812913|104172477.85250996|383650273.8209803
6|141058792.73458993|-47796989.47796435|-20693977.292289756|106538.79088885082|0.45|9.883185596621022|26.031004961337054|11.285347000410848|-296569109.1773592|219951166.98564357|103880800.72542483|383566126.15812975
7|141233527.88123083|-47334467.97650501|-20493458.26861675|124295.25603699262|0.45|9.798088312959031|26.065073863960826|11.300100010490231|-297066352.7407073|219269783.5367182|103588620.80194835|383481757.4051671
8|141406750.75839874|-46871343.956691206|-20292678.334980953|142051.72118513443|0.45|9.712851491517284|26.098869391159077|11.314734496588912|-297561638.5061281|218587301.74070045|103295940.50162956|383397168.1127129
9|141578458.90867025|-46407622.283616826|-20091639.600676075|159808.18633327624|0.45|9.627476413226004|26.132390871142245|11.329250167729793|-298054963.19053906|217903727.2041639|103002762.25153443|383312358.84514135
10|141748649.87843752|-45943307.82398347|-19890344.175692055|177564.65148141806|0.45|9.541964359765881|26.165637633153494|11.343646733383562|-298546323.51602143|217219065.5360397|102709088.47980557|383227330.14965904
11|141917321.24540997|-45478405.460839935|-19688794.177099388|195321.11662955984|0.45|9.456316620523257|26.19860901483051|11.357923906661014|-299035716.23732024|216533322.36235476|102414921.62204593|383142082.5877737
12|142084470.61413074|-45012920.09116194|-19486991.728000786|213077.58177770165|0.45|9.370534491450337|26.231304361016274|11.372081403797358|-299523138.13736093|215846503.32380965|102120264.12026958|383056616.7301664
13|142250095.61031872|-44546856.62146334|-19284938.95562978|230834.04692584346|0.45|9.284619273014995|26.26372302246791|11.386118943592175|-300008586.02159035|215158614.0713889|101825118.42099983|382970933.1492998
14|142414193.8826153|-44080219.970218845|-19082637.99240054|248590.51207398524|0.45|9.198572271323176|26.295864356087552|11.400036247509707|-300492056.7197232|214469660.26878145|101529486.97631812|382885032.4224365
15|142576763.09796447|-43613015.06558675|-18880090.974921618|266346.9772221271|0.45|9.112394797043802|26.327727723662925|11.413833039132733|-300973547.08112115|213779647.59010273|101233372.24287726|382798915.12647384
16|142737800.95381075|-43145246.8514215|-18677300.046600036|284103.44237026887|0.45|9.026088168247455|26.359312495192686|11.42750904560451|-301453053.9869908|213088581.72590503|100936776.68450472|382712581.8515755
